indice_tiempo,area_protegida,residencia,visitas
2015-01-01,Iberá,Total,1171
2015-02-01,Iberá,Total,1412
2015-03-01,Iberá,Total,1693
2015-04-01,Iberá,Total,1785
2015-05-01,Iberá,Total,1983
2015-06-01,Iberá,Total,1333
2015-07-01,Iberá,Total,4969
2015-08-01,Iberá,Total,2037
2015-09-01,Iberá,Total,2617
2015-10-01,Iberá,Total,2071
2015-11-01,Iberá,Total,1652
2015-12-01,Iberá,Total,1183
2016-01-01,Iberá,Total,1172
2016-02-01,Iberá,Total,1033
2016-03-01,Iberá,Total,1136
2016-04-01,Iberá,Total,636
2016-05-01,Iberá,Total,1005
2016-06-01,Iberá,Total,1004
2016-07-01,Iberá,Total,4165
2016-08-01,Iberá,Total,1687
2016-09-01,Iberá,Total,2234
2016-10-01,Iberá,Total,2734
2016-11-01,Iberá,Total,2080
2016-12-01,Iberá,Total,1669
2017-01-01,Iberá,Total,2256
2017-02-01,Iberá,Total,2312
2017-03-01,Iberá,Total,1700
2017-04-01,Iberá,Total,2516
2017-05-01,Iberá,Total,1018
2017-06-01,Iberá,Total,575
2017-07-01,Iberá,Total,4857
2017-08-01,Iberá,Total,2438
2017-09-01,Iberá,Total,2938
2017-10-01,Iberá,Total,3139
2017-11-01,Iberá,Total,2786
2017-12-01,Iberá,Total,1382
2018-01-01,Iberá,Total,2246
2018-02-01,Iberá,Total,2280
2018-03-01,Iberá,Total,3288
2018-04-01,Iberá,Total,3746
2018-05-01,Iberá,Total,2355
2018-06-01,Iberá,Total,1697
2018-07-01,Iberá,Total,6832
2018-08-01,Iberá,Total,3306
2018-09-01,Iberá,Total,3941
2018-10-01,Iberá,Total,4936
2018-11-01,Iberá,Total,3721
2018-12-01,Iberá,Total,2127
2019-01-01,Iberá,Total,2166
2019-02-01,Iberá,Total,2162
2019-03-01,Iberá,Total,3071
2019-04-01,Iberá,Total,4375
2019-05-01,Iberá,Total,2512
2019-06-01,Iberá,Total,3223
2019-07-01,Iberá,Total,9357
2019-08-01,Iberá,Total,4974
2019-09-01,Iberá,Total,5557
2019-10-01,Iberá,Total,4660
2019-11-01,Iberá,Total,4239
2019-12-01,Iberá,Total,2264
2020-01-01,Iberá,Total,5084
2020-02-01,Iberá,Total,5021
2020-03-01,Iberá,Total,1502
2020-04-01,Iberá,Total,0
2020-05-01,Iberá,Total,0
2020-06-01,Iberá,Total,0
2020-07-01,Iberá,Total,219
2020-08-01,Iberá,Total,1243
2020-09-01,Iberá,Total,256
2020-10-01,Iberá,Total,690
2020-11-01,Iberá,Total,589
2020-12-01,Iberá,Total,1097
2021-01-01,Iberá,Total,2907
2021-02-01,Iberá,Total,4139
2021-03-01,Iberá,Total,2653
2021-04-01,Iberá,Total,2950
2021-05-01,Iberá,Total,1493
2021-06-01,Iberá,Total,847
2021-07-01,Iberá,Total,9861
2021-08-01,Iberá,Total,6004
2021-09-01,Iberá,Total,6701
2021-10-01,Iberá,Total,4253
2021-11-01,Iberá,Total,4938
2021-12-01,Iberá,Total,3893
2022-01-01,Iberá,Total,4644
2022-02-01,Iberá,Total,2463
2022-03-01,Iberá,Total,2115
2022-04-01,Iberá,Total,4415
2022-05-01,Iberá,Total,3143
2022-06-01,Iberá,Total,3708
2022-07-01,Iberá,Total,11931
2022-08-01,Iberá,Total,5665
2022-09-01,Iberá,Total,7521
2022-10-01,Iberá,Total,9407
2022-11-01,Iberá,Total,5664
2022-12-01,Iberá,Total,2702
2023-01-01,Iberá,Total,2856
2023-02-01,Iberá,Total,2890
2023-03-01,Iberá,Total,2349
2023-04-01,Iberá,Total,4955
2023-05-01,Iberá,Total,4932
2023-06-01,Iberá,Total,5370
2023-07-01,Iberá,Total,11689
2023-08-01,Iberá,Total,6596
2023-09-01,Iberá,Total,6020
2023-10-01,Iberá,Total,6993
2023-11-01,Iberá,Total,3209
2023-12-01,Iberá,Total,1725
2024-01-01,Iberá,Total,2580
2024-02-01,Iberá,Total,2250
2024-03-01,Iberá,Total,4264
2024-04-01,Iberá,Total,1936
2024-05-01,Iberá,Total,2211
2024-06-01,Iberá,Total,4304
2024-07-01,Iberá,Total,8418
2024-08-01,Iberá,Total,2802
2024-09-01,Iberá,Total,5368
2024-10-01,Iberá,Total,6256
2024-11-01,Iberá,Total,3538
2024-12-01,Iberá,Total,2076
2025-01-01,Iberá,Total,3322
2025-02-01,Iberá,Total,2146
2025-03-01,Iberá,Total,2817
2025-04-01,Iberá,Total,4746
