"indice_tiempo","area_protegida","residencia","visitas"
2000-01-01,"Bosque Petrificado Sarmiento","No residentes",49
2000-01-01,"Bosque Petrificado Sarmiento","Residentes",905
2000-01-01,"Península Valdés","No residentes",3035
2000-01-01,"Península Valdés","Residentes",35097
2000-01-01,"Punta Loma","No residentes",0
2000-01-01,"Punta Loma","Residentes",6223
2000-02-01,"Bosque Petrificado Sarmiento","No residentes",168
2000-02-01,"Bosque Petrificado Sarmiento","Residentes",526
2000-02-01,"Península Valdés","No residentes",3429
2000-02-01,"Península Valdés","Residentes",17913
2000-02-01,"Punta Loma","No residentes",1043
2000-02-01,"Punta Loma","Residentes",4058
2000-03-01,"Bosque Petrificado Sarmiento","No residentes",54
2000-03-01,"Bosque Petrificado Sarmiento","Residentes",140
2000-03-01,"Península Valdés","No residentes",1775
2000-03-01,"Península Valdés","Residentes",4821
2000-03-01,"Punta Loma","No residentes",417
2000-03-01,"Punta Loma","Residentes",742
2000-04-01,"Bosque Petrificado Sarmiento","No residentes",18
2000-04-01,"Bosque Petrificado Sarmiento","Residentes",199
2000-04-01,"Península Valdés","No residentes",723
2000-04-01,"Península Valdés","Residentes",3812
2000-04-01,"Punta Loma","No residentes",293
2000-04-01,"Punta Loma","Residentes",962
2000-05-01,"Bosque Petrificado Sarmiento","No residentes",5
2000-05-01,"Bosque Petrificado Sarmiento","Residentes",89
2000-05-01,"Península Valdés","No residentes",74
2000-05-01,"Península Valdés","Residentes",1347
2000-05-01,"Punta Loma","No residentes",49
2000-05-01,"Punta Loma","Residentes",308
2000-05-01,"Punta Tombo","No residentes",NA
2000-05-01,"Punta Tombo","Residentes",NA
2000-05-01,"Cabo Dos Bahías","No residentes",NA
2000-05-01,"Cabo Dos Bahías","Residentes",NA
2000-06-01,"Bosque Petrificado Sarmiento","No residentes",0
2000-06-01,"Bosque Petrificado Sarmiento","Residentes",62
2000-06-01,"Península Valdés","No residentes",152
2000-06-01,"Península Valdés","Residentes",1385
2000-06-01,"Punta Loma","No residentes",7
2000-06-01,"Punta Loma","Residentes",256
2000-06-01,"Punta Tombo","No residentes",NA
2000-06-01,"Punta Tombo","Residentes",NA
2000-06-01,"Cabo Dos Bahías","No residentes",NA
2000-06-01,"Cabo Dos Bahías","Residentes",NA
2000-07-01,"Bosque Petrificado Sarmiento","No residentes",3
2000-07-01,"Bosque Petrificado Sarmiento","Residentes",50
2000-07-01,"Península Valdés","No residentes",229
2000-07-01,"Península Valdés","Residentes",5796
2000-07-01,"Punta Loma","No residentes",38
2000-07-01,"Punta Loma","Residentes",1102
2000-07-01,"Punta Tombo","No residentes",NA
2000-07-01,"Punta Tombo","Residentes",NA
2000-07-01,"Cabo Dos Bahías","No residentes",NA
2000-07-01,"Cabo Dos Bahías","Residentes",NA
2000-08-01,"Bosque Petrificado Sarmiento","No residentes",9
2000-08-01,"Bosque Petrificado Sarmiento","Residentes",85
2000-08-01,"Península Valdés","No residentes",596
2000-08-01,"Península Valdés","Residentes",6314
2000-08-01,"Punta Loma","No residentes",59
2000-08-01,"Punta Loma","Residentes",991
2000-08-01,"Punta Tombo","No residentes",NA
2000-08-01,"Punta Tombo","Residentes",NA
2000-08-01,"Cabo Dos Bahías","No residentes",NA
2000-08-01,"Cabo Dos Bahías","Residentes",NA
2000-09-01,"Bosque Petrificado Sarmiento","No residentes",5
2000-09-01,"Bosque Petrificado Sarmiento","Residentes",25
2000-09-01,"Península Valdés","No residentes",1266
2000-09-01,"Península Valdés","Residentes",9459
2000-09-01,"Punta Loma","No residentes",0
2000-09-01,"Punta Loma","Residentes",1133
2000-09-01,"Punta Tombo","No residentes",555
2000-09-01,"Punta Tombo","Residentes",3713
2000-09-01,"Cabo Dos Bahías","No residentes",15
2000-09-01,"Cabo Dos Bahías","Residentes",256
2000-10-01,"Bosque Petrificado Sarmiento","No residentes",6
2000-10-01,"Bosque Petrificado Sarmiento","Residentes",95
2000-10-01,"Península Valdés","No residentes",3401
2000-10-01,"Península Valdés","Residentes",18594
2000-10-01,"Punta Loma","No residentes",445
2000-10-01,"Punta Loma","Residentes",2091
2000-10-01,"Punta Tombo","No residentes",2453
2000-10-01,"Punta Tombo","Residentes",10443
2000-10-01,"Cabo Dos Bahías","No residentes",70
2000-10-01,"Cabo Dos Bahías","Residentes",326
2000-11-01,"Bosque Petrificado Sarmiento","No residentes",83
2000-11-01,"Bosque Petrificado Sarmiento","Residentes",119
2000-11-01,"Península Valdés","No residentes",6616
2000-11-01,"Península Valdés","Residentes",9001
2000-11-01,"Punta Loma","No residentes",471
2000-11-01,"Punta Loma","Residentes",993
2000-11-01,"Punta Tombo","No residentes",4785
2000-11-01,"Punta Tombo","Residentes",4644
2000-11-01,"Cabo Dos Bahías","No residentes",83
2000-11-01,"Cabo Dos Bahías","Residentes",181
2000-12-01,"Bosque Petrificado Sarmiento","No residentes",79
2000-12-01,"Bosque Petrificado Sarmiento","Residentes",183
2000-12-01,"Península Valdés","No residentes",4730
2000-12-01,"Península Valdés","Residentes",6235
2000-12-01,"Punta Loma","No residentes",625
2000-12-01,"Punta Loma","Residentes",835
2000-12-01,"Punta Tombo","No residentes",3045
2000-12-01,"Punta Tombo","Residentes",1511
2000-12-01,"Cabo Dos Bahías","No residentes",203
2000-12-01,"Cabo Dos Bahías","Residentes",299
2001-01-01,"Bosque Petrificado Sarmiento","No residentes",52
2001-01-01,"Bosque Petrificado Sarmiento","Residentes",1133
2001-01-01,"Península Valdés","No residentes",2674
2001-01-01,"Península Valdés","Residentes",33947
2001-01-01,"Punta Loma","No residentes",0
2001-01-01,"Punta Loma","Residentes",4688
2001-01-01,"Punta Tombo","No residentes",3717
2001-01-01,"Punta Tombo","Residentes",6822
2001-01-01,"Cabo Dos Bahías","No residentes",515
2001-01-01,"Cabo Dos Bahías","Residentes",1019
2001-02-01,"Bosque Petrificado Sarmiento","No residentes",146
2001-02-01,"Bosque Petrificado Sarmiento","Residentes",491
2001-02-01,"Península Valdés","No residentes",2821
2001-02-01,"Península Valdés","Residentes",16305
2001-02-01,"Punta Loma","No residentes",651
2001-02-01,"Punta Loma","Residentes",2481
2001-02-01,"Punta Tombo","No residentes",2443
2001-02-01,"Punta Tombo","Residentes",4094
2001-02-01,"Cabo Dos Bahías","No residentes",158
2001-02-01,"Cabo Dos Bahías","Residentes",874
2001-03-01,"Bosque Petrificado Sarmiento","No residentes",58
2001-03-01,"Bosque Petrificado Sarmiento","Residentes",166
2001-03-01,"Península Valdés","No residentes",974
2001-03-01,"Península Valdés","Residentes",5255
2001-03-01,"Punta Loma","No residentes",566
2001-03-01,"Punta Loma","Residentes",838
2001-03-01,"Punta Tombo","No residentes",1114
2001-03-01,"Punta Tombo","Residentes",1378
2001-03-01,"Cabo Dos Bahías","No residentes",145
2001-03-01,"Cabo Dos Bahías","Residentes",616
2001-04-01,"Bosque Petrificado Sarmiento","No residentes",0
2001-04-01,"Bosque Petrificado Sarmiento","Residentes",0
2001-04-01,"Península Valdés","No residentes",319
2001-04-01,"Península Valdés","Residentes",3599
2001-04-01,"Punta Loma","No residentes",161
2001-04-01,"Punta Loma","Residentes",577
2001-04-01,"Punta Tombo","No residentes",223
2001-04-01,"Punta Tombo","Residentes",648
2001-04-01,"Cabo Dos Bahías","No residentes",69
2001-04-01,"Cabo Dos Bahías","Residentes",295
2001-05-01,"Bosque Petrificado Sarmiento","No residentes",27
2001-05-01,"Bosque Petrificado Sarmiento","Residentes",83
2001-05-01,"Península Valdés","No residentes",61
2001-05-01,"Península Valdés","Residentes",967
2001-05-01,"Punta Loma","No residentes",32
2001-05-01,"Punta Loma","Residentes",166
2001-05-01,"Punta Tombo","No residentes",NA
2001-05-01,"Punta Tombo","Residentes",NA
2001-05-01,"Cabo Dos Bahías","No residentes",NA
2001-05-01,"Cabo Dos Bahías","Residentes",NA
2001-06-01,"Bosque Petrificado Sarmiento","No residentes",0
2001-06-01,"Bosque Petrificado Sarmiento","Residentes",84
2001-06-01,"Península Valdés","No residentes",103
2001-06-01,"Península Valdés","Residentes",1091
2001-06-01,"Punta Loma","No residentes",4
2001-06-01,"Punta Loma","Residentes",143
2001-06-01,"Punta Tombo","No residentes",NA
2001-06-01,"Punta Tombo","Residentes",NA
2001-06-01,"Cabo Dos Bahías","No residentes",NA
2001-06-01,"Cabo Dos Bahías","Residentes",NA
2001-07-01,"Bosque Petrificado Sarmiento","No residentes",0
2001-07-01,"Bosque Petrificado Sarmiento","Residentes",0
2001-07-01,"Península Valdés","No residentes",1112
2001-07-01,"Península Valdés","Residentes",5592
2001-07-01,"Punta Loma","No residentes",38
2001-07-01,"Punta Loma","Residentes",957
2001-07-01,"Punta Tombo","No residentes",NA
2001-07-01,"Punta Tombo","Residentes",NA
2001-07-01,"Cabo Dos Bahías","No residentes",NA
2001-07-01,"Cabo Dos Bahías","Residentes",NA
2001-08-01,"Bosque Petrificado Sarmiento","No residentes",9
2001-08-01,"Bosque Petrificado Sarmiento","Residentes",23
2001-08-01,"Península Valdés","No residentes",259
2001-08-01,"Península Valdés","Residentes",6104
2001-08-01,"Punta Loma","No residentes",31
2001-08-01,"Punta Loma","Residentes",545
2001-08-01,"Punta Tombo","No residentes",NA
2001-08-01,"Punta Tombo","Residentes",NA
2001-08-01,"Cabo Dos Bahías","No residentes",NA
2001-08-01,"Cabo Dos Bahías","Residentes",NA
2001-09-01,"Bosque Petrificado Sarmiento","No residentes",0
2001-09-01,"Bosque Petrificado Sarmiento","Residentes",0
2001-09-01,"Península Valdés","No residentes",563
2001-09-01,"Península Valdés","Residentes",9181
2001-09-01,"Punta Loma","No residentes",0
2001-09-01,"Punta Loma","Residentes",61
2001-09-01,"Punta Tombo","No residentes",436
2001-09-01,"Punta Tombo","Residentes",3131
2001-09-01,"Cabo Dos Bahías","No residentes",5
2001-09-01,"Cabo Dos Bahías","Residentes",159
2001-10-01,"Bosque Petrificado Sarmiento","No residentes",55
2001-10-01,"Bosque Petrificado Sarmiento","Residentes",211
2001-10-01,"Península Valdés","No residentes",1576
2001-10-01,"Península Valdés","Residentes",16446
2001-10-01,"Punta Loma","No residentes",167
2001-10-01,"Punta Loma","Residentes",900
2001-10-01,"Punta Tombo","No residentes",1665
2001-10-01,"Punta Tombo","Residentes",6802
2001-10-01,"Cabo Dos Bahías","No residentes",25
2001-10-01,"Cabo Dos Bahías","Residentes",222
2001-11-01,"Bosque Petrificado Sarmiento","No residentes",143
2001-11-01,"Bosque Petrificado Sarmiento","Residentes",179
2001-11-01,"Península Valdés","No residentes",3261
2001-11-01,"Península Valdés","Residentes",11218
2001-11-01,"Punta Loma","No residentes",412
2001-11-01,"Punta Loma","Residentes",857
2001-11-01,"Punta Tombo","No residentes",2494
2001-11-01,"Punta Tombo","Residentes",4120
