"indice_tiempo","visitas","residencia"
2003-01-01,2932,"Total"
2003-02-01,1934,"Total"
2003-03-01,2150,"Total"
2003-04-01,3618,"Total"
2003-05-01,2337,"Total"
2003-06-01,1951,"Total"
2003-07-01,9591,"Total"
2003-08-01,4955,"Total"
2003-09-01,4485,"Total"
2003-10-01,3990,"Total"
2003-11-01,1687,"Total"
2003-12-01,874,"Total"
2004-01-01,3191,"Total"
2004-02-01,2711,"Total"
2004-03-01,2080,"Total"
2004-04-01,5572,"Total"
2004-05-01,2632,"Total"
2004-06-01,2399,"Total"
2004-07-01,11474,"Total"
2004-08-01,5057,"Total"
2004-09-01,4401,"Total"
2004-10-01,4490,"Total"
2004-11-01,1968,"Total"
2004-12-01,1100,"Total"
2005-01-01,4122,"Total"
2005-02-01,3261,"Total"
2005-03-01,5105,"Total"
2005-04-01,2587,"Total"
2005-05-01,2955,"Total"
2005-06-01,3115,"Total"
2005-07-01,12037,"Total"
2005-08-01,6009,"Total"
2005-09-01,5236,"Total"
2005-10-01,5492,"Total"
2005-11-01,2869,"Total"
2005-12-01,1807,"Total"
2006-01-01,4856,"Total"
2006-02-01,3899,"Total"
2006-03-01,3578,"Total"
2006-04-01,7102,"Total"
2006-05-01,4315,"Total"
2006-06-01,3218,"Total"
2006-07-01,12795,"Total"
2006-08-01,7318,"Total"
2006-09-01,6124,"Total"
2006-10-01,5017,"Total"
2006-11-01,3116,"Total"
2006-12-01,1837,"Total"
2007-01-01,6394,"Total"
2007-02-01,5241,"Total"
2007-03-01,3982,"Total"
2007-04-01,9989,"Total"
2007-05-01,4352,"Total"
2007-06-01,3964,"Total"
2007-07-01,14718,"Total"
2007-08-01,7712,"Total"
2007-09-01,6787,"Total"
2007-10-01,7460,"Total"
2007-11-01,4516,"Total"
2007-12-01,2476,"Total"
2008-01-01,6505,"Total"
2008-02-01,5911,"Total"
2008-03-01,8158,"Total"
2008-04-01,3821,"Total"
2008-05-01,4568,"Total"
2008-06-01,3033,"Total"
2008-07-01,13354,"Total"
2008-08-01,11146,"Total"
2008-09-01,6155,"Total"
2008-10-01,8264,"Total"
2008-11-01,3395,"Total"
2008-12-01,2734,"Total"
2009-01-01,7308,"Total"
2009-02-01,5180,"Total"
2009-03-01,3632,"Total"
2009-04-01,6359,"Total"
2009-05-01,4611,"Total"
2009-06-01,3217,"Total"
2009-07-01,14746,"Total"
2009-08-01,6025,"Total"
2009-09-01,6029,"Total"
2009-10-01,7665,"Total"
2009-11-01,3532,"Total"
2009-12-01,2159,"Total"
2010-01-01,7403,"Total"
2010-02-01,4887,"Total"
2010-03-01,3872,"Total"
2010-04-01,6867,"Total"
2010-05-01,6455,"Total"
2010-06-01,3325,"Total"
2010-07-01,14429,"Total"
2010-08-01,6547,"Total"
2010-09-01,6728,"Total"
2010-10-01,8768,"Total"
2010-11-01,4425,"Total"
2010-12-01,1658,"Total"
2011-01-01,7588,"Total"
2011-02-01,4318,"Total"
2011-03-01,7784,"Total"
2011-04-01,7369,"Total"
2011-05-01,4584,"Total"
2011-06-01,4372,"Total"
2011-07-01,15400,"Total"
2011-08-01,7324,"Total"
2011-09-01,8488,"Total"
2011-10-01,8890,"Total"
2011-11-01,3380,"Total"
2011-12-01,2360,"Total"
2012-01-01,7168,"Total"
2012-02-01,5521,"Total"
2012-03-01,3959,"Total"
2012-04-01,10155,"Total"
2012-05-01,5114,"Total"
2012-06-01,3721,"Total"
2012-07-01,17210,"Total"
2012-08-01,6985,"Total"
2012-09-01,12793,"Total"
2012-10-01,8260,"Total"
2012-11-01,4452,"Total"
2012-12-01,1522,"Total"
2013-01-01,6890,"Total"
2013-02-01,4739,"Total"
2013-03-01,10256,"Total"
2013-04-01,5817,"Total"
2013-05-01,4558,"Total"
2013-06-01,9096,"Total"
2013-07-01,17466,"Total"
2013-08-01,7061,"Total"
2013-09-01,13514,"Total"
2013-10-01,8218,"Total"
2013-11-01,6593,"Total"
2013-12-01,1409,"Total"
2014-01-01,5492,"Total"
2014-02-01,2943,"Total"
2014-03-01,4603,"Total"
