indice_tiempo,area_protegida,visitas
2015-01-01,Reducciones Jesuiticas,22854
2015-01-01,Espectaculo de Imagen y Sonido,NA
2015-01-01,Parque Provincial Mocona,NA
2015-01-01,Parque Provincial Salto Encantado,9519
2015-01-01,Parque Tematico de la Cruz,6318
2015-02-01,Reducciones Jesuiticas,17877
2015-02-01,Espectaculo de Imagen y Sonido,NA
2015-02-01,Parque Provincial Mocona,NA
2015-02-01,Parque Provincial Salto Encantado,6305
2015-02-01,Parque Tematico de la Cruz,4524
2015-03-01,Reducciones Jesuiticas,12116
2015-03-01,Espectaculo de Imagen y Sonido,1035
2015-03-01,Parque Provincial Mocona,NA
2015-03-01,Parque Provincial Salto Encantado,2851
2015-03-01,Parque Tematico de la Cruz,2827
2015-04-01,Reducciones Jesuiticas,14315
2015-04-01,Espectaculo de Imagen y Sonido,1451
2015-04-01,Parque Provincial Mocona,NA
2015-04-01,Parque Provincial Salto Encantado,2837
2015-04-01,Parque Tematico de la Cruz,4136
2015-05-01,Reducciones Jesuiticas,11331
2015-05-01,Espectaculo de Imagen y Sonido,911
2015-05-01,Parque Provincial Mocona,NA
2015-05-01,Parque Provincial Salto Encantado,1792
2015-05-01,Parque Tematico de la Cruz,2171
2015-06-01,Reducciones Jesuiticas,9185
2015-06-01,Espectaculo de Imagen y Sonido,610
2015-06-01,Parque Provincial Mocona,NA
2015-06-01,Parque Provincial Salto Encantado,1425
2015-06-01,Parque Tematico de la Cruz,1501
2015-07-01,Reducciones Jesuiticas,39855
2015-07-01,Espectaculo de Imagen y Sonido,3068
2015-07-01,Parque Provincial Mocona,NA
2015-07-01,Parque Provincial Salto Encantado,5699
2015-07-01,Parque Tematico de la Cruz,6191
2015-08-01,Reducciones Jesuiticas,14631
2015-08-01,Espectaculo de Imagen y Sonido,1249
2015-08-01,Parque Provincial Mocona,NA
2015-08-01,Parque Provincial Salto Encantado,2762
2015-08-01,Parque Tematico de la Cruz,2869
2015-09-01,Reducciones Jesuiticas,19185
2015-09-01,Espectaculo de Imagen y Sonido,2963
2015-09-01,Parque Provincial Mocona,NA
2015-09-01,Parque Provincial Salto Encantado,3117
2015-09-01,Parque Tematico de la Cruz,3075
2015-10-01,Reducciones Jesuiticas,12639
2015-10-01,Espectaculo de Imagen y Sonido,719
2015-10-01,Parque Provincial Mocona,NA
2015-10-01,Parque Provincial Salto Encantado,3107
2015-10-01,Parque Tematico de la Cruz,2027
2015-11-01,Reducciones Jesuiticas,11102
2015-11-01,Espectaculo de Imagen y Sonido,NA
2015-11-01,Parque Provincial Mocona,NA
2015-11-01,Parque Provincial Salto Encantado,2432
2015-11-01,Parque Tematico de la Cruz,2182
2015-12-01,Reducciones Jesuiticas,7746
2015-12-01,Espectaculo de Imagen y Sonido,NA
2015-12-01,Parque Provincial Mocona,NA
2015-12-01,Parque Provincial Salto Encantado,3318
2015-12-01,Parque Tematico de la Cruz,1199
2016-01-01,Reducciones Jesuiticas,16759
2016-01-01,Espectaculo de Imagen y Sonido,NA
2016-01-01,Parque Provincial Mocona,3136
2016-01-01,Parque Provincial Salto Encantado,7174
2016-01-01,Parque Tematico de la Cruz,4141
2016-02-01,Reducciones Jesuiticas,10621
2016-02-01,Espectaculo de Imagen y Sonido,NA
2016-02-01,Parque Provincial Mocona,640
2016-02-01,Parque Provincial Salto Encantado,3892
2016-02-01,Parque Tematico de la Cruz,2390
2016-03-01,Reducciones Jesuiticas,10337
2016-03-01,Espectaculo de Imagen y Sonido,163
2016-03-01,Parque Provincial Mocona,623
2016-03-01,Parque Provincial Salto Encantado,1689
2016-03-01,Parque Tematico de la Cruz,1455
2016-04-01,Reducciones Jesuiticas,6163
2016-04-01,Espectaculo de Imagen y Sonido,316
2016-04-01,Parque Provincial Mocona,691
2016-04-01,Parque Provincial Salto Encantado,941
2016-04-01,Parque Tematico de la Cruz,973
2016-05-01,Reducciones Jesuiticas,6393
2016-05-01,Espectaculo de Imagen y Sonido,238
2016-05-01,Parque Provincial Mocona,411
2016-05-01,Parque Provincial Salto Encantado,762
2016-05-01,Parque Tematico de la Cruz,808
2016-06-01,Reducciones Jesuiticas,8730
2016-06-01,Espectaculo de Imagen y Sonido,681
2016-06-01,Parque Provincial Mocona,857
2016-06-01,Parque Provincial Salto Encantado,1309
2016-06-01,Parque Tematico de la Cruz,1517
2016-07-01,Reducciones Jesuiticas,38281
2016-07-01,Espectaculo de Imagen y Sonido,3319
2016-07-01,Parque Provincial Mocona,5892
2016-07-01,Parque Provincial Salto Encantado,5342
2016-07-01,Parque Tematico de la Cruz,5488
2016-08-01,Reducciones Jesuiticas,12709
2016-08-01,Espectaculo de Imagen y Sonido,1289
2016-08-01,Parque Provincial Mocona,2167
2016-08-01,Parque Provincial Salto Encantado,1900
2016-08-01,Parque Tematico de la Cruz,2054
2016-09-01,Reducciones Jesuiticas,17349
2016-09-01,Espectaculo de Imagen y Sonido,1915
2016-09-01,Parque Provincial Mocona,2481
2016-09-01,Parque Provincial Salto Encantado,2375
2016-09-01,Parque Tematico de la Cruz,1866
2016-10-01,Reducciones Jesuiticas,17361
2016-10-01,Espectaculo de Imagen y Sonido,1627
2016-10-01,Parque Provincial Mocona,2665
2016-10-01,Parque Provincial Salto Encantado,2886
2016-10-01,Parque Tematico de la Cruz,2319
2016-11-01,Reducciones Jesuiticas,10889
2016-11-01,Espectaculo de Imagen y Sonido,1070
2016-11-01,Parque Provincial Mocona,1436
2016-11-01,Parque Provincial Salto Encantado,1738
2016-11-01,Parque Tematico de la Cruz,992
2016-12-01,Reducciones Jesuiticas,12929
2016-12-01,Espectaculo de Imagen y Sonido,990
2016-12-01,Parque Provincial Mocona,1850
2016-12-01,Parque Provincial Salto Encantado,2418
2016-12-01,Parque Tematico de la Cruz,1218
2017-01-01,Reducciones Jesuiticas,20461
2017-01-01,Espectaculo de Imagen y Sonido,2016
2017-01-01,Parque Provincial Mocona,6039
2017-01-01,Parque Provincial Salto Encantado,7789
2017-01-01,Parque Tematico de la Cruz,4086
2017-02-01,Reducciones Jesuiticas,17166
2017-02-01,Espectaculo de Imagen y Sonido,1575
2017-02-01,Parque Provincial Mocona,4518
2017-02-01,Parque Provincial Salto Encantado,4927
2017-02-01,Parque Tematico de la Cruz,3366
2017-03-01,Reducciones Jesuiticas,10563
